City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bredasdorp,ZA,2022-04-24 23:13:33,-34.5322,20.0403,57.61,73,78,5.55
68,Khatanga,RU,2022-04-24 23:13:34,71.9667,102.5,-5.42,100,100,5.14
69,Bluff,NZ,2022-04-24 23:10:52,-46.6,168.3333,55.8,80,91,29.64
70,Lichinga,MZ,2022-04-24 23:16:56,-13.3128,35.2406,59.92,96,47,2.39
71,Port Lincoln,AU,2022-04-24 23:16:57,-34.7333,135.8667,64.92,79,100,11.92
72,Te Anau,NZ,2022-04-24 23:13:21,-45.4167,167.7167,55.53,71,31,1.77
73,Hamilton,US,2022-04-24 23:14:33,39.1834,-84.5333,81.23,42,0,17.27
74,Cravo Norte,CO,2022-04-24 23:16:57,6.3017,-70.2041,89.78,42,67,3.76
75,Bengkulu,ID,2022-04-24 23:16:58,-3.8004,102.2655,75.42,89,100,4.14
76,Airai,TL,2022-04-24 23:13:32,-8.9266,125.4092,63.46,58,64,1.36
77,Corner Brook,CA,2022-04-24 23:15:22,48.9667,-57.9484,37.56,96,100,13.76
78,Geraldton,AU,2022-04-24 23:16:58,-28.7667,114.6,66.61,42,84,18.41
79,Kapaa,US,2022-04-24 23:09:22,22.0752,-159.319,82.38,78,100,17.27
80,Severo-Kurilsk,RU,2022-04-24 23:08:58,50.6789,156.125,33.94,88,70,1.95
81,Nerekhta,RU,2022-04-24 23:16:59,57.4588,40.5747,48.09,84,100,6.69
82,Asau,RO,2022-04-24 23:17:00,46.4333,26.4,54.52,94,93,5.17
83,Jamestown,US,2022-04-24 23:06:24,42.097,-79.2353,78.44,31,0,10.36
84,Mareeba,AU,2022-04-24 23:17:00,-17.0,145.4333,73.44,96,99,4.85
85,Lompoc,US,2022-04-24 23:10:46,34.6391,-120.4579,82.69,63,0,21.99
86,Fare,PF,2022-04-24 23:17:01,-16.7,-151.0167,81.18,71,52,6.15
87,Kopervik,NO,2022-04-24 23:17:01,59.2835,5.3067,44.91,81,17,5.75
88,Kathu,TH,2022-04-24 23:17:01,7.9178,98.3332,87.75,71,39,6.71
89,Butaritari,KI,2022-04-24 23:17:02,3.0707,172.7902,81.34,76,100,10.42
90,Pevek,RU,2022-04-24 23:13:26,69.7008,170.3133,10.65,92,93,2.68
91,Mar Del Plata,AR,2022-04-24 23:06:52,-38.0023,-57.5575,66.22,79,0,15.01
92,Fortuna,US,2022-04-24 23:16:30,40.5982,-124.1573,61.93,74,0,11.5
93,Marion,US,2022-04-24 23:15:29,39.7684,-86.1555,77.58,57,100,17.27
94,Yellowknife,CA,2022-04-24 23:08:31,62.456,-114.3525,35.56,51,14,15.99
95,Lavrentiya,RU,2022-04-24 23:07:56,65.5833,-171.0,26.92,77,53,4.45
96,Port Elizabeth,ZA,2022-04-24 23:09:36,-33.918,25.5701,57.31,70,96,8.01
97,Poninka,UA,2022-04-24 23:18:03,50.1849,27.5363,49.82,77,33,11.63
98,Zomba,MW,2022-04-24 23:18:04,-15.386,35.3188,62.92,96,26,3.02
99,Surt,LY,2022-04-24 23:18:04,31.2089,16.5887,61.79,78,39,9.95
100,Tongzi,CN,2022-04-24 23:18:04,28.7829,105.0877,64.9,87,100,3.42
101,Sabha,LY,2022-04-24 23:13:34,27.0377,14.4283,73.89,10,98,13.96
102,Honjo,JP,2022-04-24 23:18:05,36.2333,139.1833,73.67,55,74,2.39
103,Mabaruma,GY,2022-04-24 23:18:05,8.2,-59.7833,76.15,89,100,3.8
104,Bone,DE,2022-04-24 23:18:06,51.9669,12.1396,49.24,87,100,8.95
105,Georgetown,MY,2022-04-24 23:13:57,5.4112,100.3354,80.53,89,20,0.0
106,Palu,ID,2022-04-24 23:18:07,-0.8917,119.8707,76.77,93,100,1.36
107,Shizukuishi,JP,2022-04-24 23:18:07,39.6833,140.9833,54.37,66,2,2.26
108,Brae,GB,2022-04-24 23:18:07,60.3964,-1.353,45.19,87,70,17.56
109,Korla,CN,2022-04-24 23:18:08,41.7597,86.1469,64.11,30,46,15.21
110,Mandalgovi,MN,2022-04-24 23:16:58,45.7625,106.2708,33.62,58,84,26.66
111,Bambous Virieux,MU,2022-04-24 23:18:08,-20.3428,57.7575,75.45,73,40,16.11
112,Hithadhoo,MV,2022-04-24 23:14:49,-0.6,73.0833,84.25,72,63,8.81
113,Mataura,NZ,2022-04-24 23:09:31,-46.1927,168.8643,55.47,86,93,8.1
114,Klyuchi,RU,2022-04-24 23:18:09,52.2667,79.1667,30.58,56,88,5.55
115,Ribeira Grande,PT,2022-04-24 23:12:04,38.5167,-28.7,58.93,75,15,15.55
116,Luderitz,NA,2022-04-24 23:18:10,-26.6481,15.1594,55.54,64,0,18.66
117,Barrow,US,2022-04-24 23:09:24,71.2906,-156.7887,15.82,79,0,10.36
118,Naze,JP,2022-04-24 23:15:24,28.3667,129.4833,72.37,88,9,6.04
119,Lagoa,PT,2022-04-24 23:14:53,39.05,-27.9833,57.81,74,2,19.08
120,Puerto Ayora,EC,2022-04-24 23:09:33,-0.7393,-90.3518,74.37,80,51,9.04
121,Thunder Bay,CA,2022-04-24 23:16:04,48.4001,-89.3168,47.28,79,100,5.99
122,Chateauroux,FR,2022-04-24 23:18:11,46.8167,1.7,53.6,94,100,11.5
