City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Yara,CU,78.57,light rain,20.2753,-76.9533,Casa de Margarita Puebla Lorente
261,Angoche,MZ,74.35,few clouds,-16.2325,39.9086,Guest House HESADA
263,Buraydah,SA,72.05,scattered clouds,26.326,43.975,Mövenpick Qassim
264,Araouane,ML,78.04,clear sky,18.9048,-3.5265,
265,Gouyave,GD,79.57,broken clouds,12.1646,-61.7296,Rumboat Retreat
266,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
267,Benjamin Constant,BR,80.73,thunderstorm,-4.3831,-70.0311,CASA AVALIADA
268,Honiara,SB,85.39,overcast clouds,-9.4333,159.95,Heritage Park Hotel
277,Santo Antonio Do Ica,BR,75.94,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
280,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
281,Gigmoto,PH,81.46,broken clouds,13.7796,124.39,Cj's Travellers Inn
289,Beberibe,BR,78.06,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
291,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
302,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
305,San Marcos,US,70.84,broken clouds,33.1434,-117.1661,Hampton Inn San Marcos
307,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
312,Bac Lieu,VN,81.97,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
314,Kandrian,PG,82.02,light rain,-6.2167,149.55,Kandrian Station
315,Ilheus,BR,82.22,scattered clouds,-14.7889,-39.0494,Barravento Hotel
316,Mulege,MX,84.69,few clouds,26.8833,-111.9833,Casa Granada
318,Suphan Buri,TH,79.2,overcast clouds,14.4742,100.1222,Vasidtee City Hotel
319,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
323,Kokopo,PG,83.17,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
326,Pedasi,PA,80.06,overcast clouds,7.5333,-80.0333,Selina Pedasi
330,Partur,IN,87.6,clear sky,19.6,76.2167,Prasanna Deshpande
331,Ponerihouen,NC,71.11,overcast clouds,-21.0833,165.4,Camping de Tiakan
334,Utete,TZ,72.03,broken clouds,-7.986,38.758,River View Lodge
336,Mahebourg,MU,74.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
338,Mecca,SA,82.22,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
339,Labuhan,ID,78.87,broken clouds,-6.8844,112.2051,DoubleFAG
340,Tikrit,IQ,75.83,overcast clouds,34.6071,43.6782,عماره العبطه
342,Deming,US,84.09,haze,32.2687,-107.7586,Best Western Deming Southwest Inn
343,Khao Yoi,TH,80.98,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
345,Kudahuvadhoo,MV,84.0,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
354,Japura,ID,74.32,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
357,Sao Gabriel Da Cachoeira,BR,75.24,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
359,Balsas,BR,79.23,overcast clouds,-7.5325,-46.0356,Novo Hotel
360,Linhares,BR,71.31,clear sky,-19.3911,-40.0722,Hotel Conceição
362,Kloulklubed,PW,73.9,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
369,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
374,Talisay,PH,82.42,broken clouds,10.2447,123.8494,RedDoorz near Talisay District Hospital
379,Kupang,ID,77.92,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
381,Inirida,CO,76.59,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
383,Harper,LR,79.84,overcast clouds,4.375,-7.7169,Screensaver
388,Gushikawa,JP,78.8,light intensity drizzle,26.3544,127.8686,Kirari Guest House
389,Isangel,VU,75.52,overcast clouds,-19.55,169.2667,Tanna Lodge
395,Carauari,BR,75.96,overcast clouds,-4.8828,-66.8958,Hotel Fellip
397,Henderson,US,86.83,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
398,Rong Kwang,TH,82.44,light rain,18.339,100.3174,Rong Kwang Hotel
400,Doha,QA,80.58,broken clouds,25.2867,51.5333,Movenpick Hotel Doha
401,Kalmunai,LK,79.54,overcast clouds,7.4167,81.8167,VS Villa
405,Tomatlan,MX,89.78,scattered clouds,19.9333,-105.25,El Salvial
406,Wamba,NG,80.2,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
411,Eatonton,US,76.57,few clouds,33.3268,-83.3885,Western Motel of Eatonton
413,Ilhabela,BR,78.33,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
416,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
417,Ler,SS,79.57,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
418,Kiunga,PG,77.95,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
420,Maragogi,BR,77.2,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
421,Katobu,ID,77.13,broken clouds,-4.9408,122.5276,La Ode Husein
422,Harindanga,IN,79.75,clear sky,22.0383,88.3214,Hasanur Builders
424,Buala,SB,84.42,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
426,El Alto,PE,73.06,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
428,Caravelas,BR,75.51,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
429,Padang,ID,77.4,overcast clouds,-0.9492,100.3543,Mercure Padang
430,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
432,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
433,Jacqueville,CI,79.47,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
437,Tevaitoa,PF,82.22,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
439,Alofi,NU,80.49,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
445,Hervey Bay,AU,74.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
446,Belmonte,BR,76.91,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
447,Tutoia,BR,77.85,overcast clouds,-2.7619,-42.2744,Pousada Guará's
449,Casas Grandes,MX,83.44,clear sky,30.3667,-107.95,Pueblo del Soul B&B
458,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
461,La Jagua Del Pilar,CO,79.68,overcast clouds,10.5102,-73.071,JUPITER
462,Mahibadhoo,MV,84.61,overcast clouds,3.7833,72.9667,Omadhoo Inn
464,Namatanai,PG,84.51,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
467,Laguna,US,75.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
468,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
472,Le Port,RE,76.96,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
476,Tanout,NE,85.64,broken clouds,14.9709,8.8879,
478,Koumac,NC,72.46,overcast clouds,-20.5667,164.2833,Le Monitel
482,Sinnamary,GF,78.4,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
484,Tifton,US,78.76,clear sky,31.4505,-83.5085,Hilton Garden Inn Tifton
487,Gizo,SB,84.11,overcast clouds,-8.103,156.8419,Imagination Island
488,Guna,IN,85.75,clear sky,24.65,77.3167,Hotel G K Jain
490,Paredon,MX,89.28,few clouds,16.0333,-93.8667,Hotel Principal Paredon
491,Sokolo,ML,89.17,few clouds,14.7328,-6.1219,
492,Luang Prabang,LA,76.15,overcast clouds,19.8856,102.1347,The Apsara
495,Sabang,ID,83.57,overcast clouds,5.8933,95.3214,Hotel Citra
497,Prescott,US,74.95,smoke,34.54,-112.4685,Prescott Resort & Conference Center
498,Dapaong,TG,86.63,overcast clouds,10.8639,0.205,Hotel Caroli
501,Eirunepe,BR,77.2,scattered clouds,-6.6603,-69.8736,Atrás de você
503,Ikire,NG,74.53,broken clouds,7.35,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
507,Khorramshahr,IR,82.36,scattered clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
508,Manokwari,ID,80.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
510,Touros,BR,79.47,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
513,Kapoeta,SS,73.74,overcast clouds,4.7717,33.5903,Eastgate Hotel
514,Trinidad,BO,89.58,few clouds,-14.8333,-64.9,Hotel Piesta
515,Castelo Do Piaui,BR,76.17,overcast clouds,-5.3222,-41.5525,Nobre Hotel
516,Edd,ER,85.57,broken clouds,13.9297,41.6925,
524,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
525,Nioro,GM,84.24,clear sky,13.35,-15.75,
526,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
527,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
535,Mattru,SL,73.87,heavy intensity rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
544,Itarema,BR,77.34,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
545,Itoman,JP,79.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
547,Loveland,US,79.75,clear sky,40.3978,-105.075,La Quinta Inn & Suites by Wyndham Loveland
551,Balkanabat,TM,70.39,clear sky,39.5108,54.3671,Nebitchi Hotel
552,Amapa,BR,73.22,light rain,1.0,-52.0,
559,Mayor Pablo Lagerenza,PY,75.56,broken clouds,-19.9309,-60.7718,
562,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
563,Muskogee,US,73.35,overcast clouds,35.5834,-95.3336,
565,Santana,BR,75.38,moderate rain,-0.0583,-51.1817,Porto Santana
567,Bahia Honda,CU,79.32,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
568,Jizan,SA,86.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
570,Pokhara,NP,72.66,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
572,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
573,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
581,Takoradi,GH,78.66,overcast clouds,4.8845,-1.7554,Raybow International Hotel
587,Marica,BR,82.35,clear sky,-22.9194,-42.8186,Marica Hills
589,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
592,Taoudenni,ML,85.53,clear sky,22.6783,-3.9836,
595,Gohana,IN,87.73,broken clouds,29.1333,76.7,Sanju hotal
602,Sur,OM,87.3,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
608,El Tigre,VE,82.18,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
609,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
611,Cairns,AU,80.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
612,Barao De Melgaco,BR,81.91,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
617,Basco,PH,82.69,clear sky,20.4487,121.9702,Nathaniel's Lodge
618,Badin,PK,83.01,clear sky,24.656,68.8384,Muhammad Bin Qasim Boys Hostel Badin campus
619,Muli,MV,84.34,broken clouds,2.9167,73.5667,Medhufushi Island Resort
621,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
622,Karratha,AU,71.78,light rain,-20.7377,116.8463,ibis Styles Karratha
623,Arkadelphia,US,82.17,clear sky,34.1209,-93.0538,COLLEGE INN MOTEL
624,Pandan,PH,80.78,broken clouds,14.0453,124.1694,Bonifacio Lodge
625,Beinamar,TD,79.36,light rain,8.6698,15.3813,
627,Martapura,ID,77.09,moderate rain,-3.4167,114.85,Montana Hotel Syariah
630,Sarangani,PH,82.49,overcast clouds,5.4033,125.4636,Ballistic Islet
631,Mana,GF,78.37,broken clouds,5.6592,-53.7767,LE SAMANA
637,Port Keats,AU,82.08,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
639,Pahrump,US,80.51,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
640,Clearwater,US,83.91,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
642,Mabaruma,GY,76.78,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
643,Sambava,MG,74.8,scattered clouds,-14.2667,50.1667,Melrose
649,Paka,MY,75.13,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
651,Lazaro Cardenas,MX,85.08,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
655,Jacareacanga,BR,75.58,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
657,Alice Springs,AU,72.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
659,Chiang Mai,TH,82.89,broken clouds,18.75,99.0,Centara Riverside Hotel Chiangmai
660,Chanute,US,72.45,overcast clouds,37.6792,-95.4572,Guest House Motel Chanute
665,Santo Domingo,DO,82.08,scattered clouds,18.5001,-69.9886,Cabañas City Heart
667,Itaporanga,BR,77.67,overcast clouds,-7.3044,-38.1503,Hotel Rainha do Vale
668,Gandai,IN,87.69,scattered clouds,21.6667,81.1,Sri Sai Lodge
670,Trat,TH,80.91,overcast clouds,12.5,102.5,สวนหนิง-อัศ
673,Ocampo,MX,78.26,scattered clouds,21.65,-101.5,Hotel Estancia del Vaquero
674,Conceicao Da Barra,BR,74.23,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
677,Arenapolis,BR,81.46,broken clouds,-14.4503,-56.8461,Mato Grosso Hotel
679,Kimbe,PG,84.27,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
682,Adrar,MR,76.95,clear sky,20.5022,-10.0711,
688,Chimore,BO,74.61,light rain,-16.9833,-65.1333,Bichito
690,Domoni,KM,79.2,overcast clouds,-12.2569,44.5319,Al Djadid
691,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
692,Kaka,TM,71.2,clear sky,37.3482,59.6143,
