City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sao Filipe,CV,14.8961,-24.4956,71.64,71,3,6.87,clear sky
80,San Pedro,PH,14.35,121.0167,83.43,77,20,5.75,few clouds
81,La Ronge,CA,55.1001,-105.2842,52.05,46,40,10.36,scattered clouds
82,Busselton,AU,-33.65,115.3333,53.98,80,33,5.61,scattered clouds
83,Kisangani,CD,0.5167,25.2,69.89,100,100,2.91,moderate rain
84,Suluq,LY,31.6682,20.2521,72.59,26,11,23.33,few clouds
85,Troitskoye,RU,52.9821,84.6757,49.17,57,30,6.6,scattered clouds
86,Yellowknife,CA,62.456,-114.3525,37.92,52,20,20.71,few clouds
87,Dongsheng,CN,39.8161,109.9776,48.24,54,99,10.89,overcast clouds
88,Porgera,PG,-5.4667,143.2,49.17,91,100,1.43,overcast clouds
89,Rameswaram,IN,9.2833,79.3,86.0,74,99,13.06,overcast clouds
90,Tobermory,CA,45.2501,-81.6665,36.48,66,0,11.88,clear sky
91,Slave Lake,CA,55.2834,-114.769,37.38,93,75,2.3,broken clouds
92,Zeya,RU,53.75,127.2667,37.94,27,19,9.89,few clouds
93,East London,ZA,-33.0153,27.9116,65.91,47,3,7.52,clear sky
94,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,93,100,18.41,fog
95,Uyemskiy,RU,64.4743,40.8524,30.25,46,0,4.47,clear sky
96,Atar,MR,20.5169,-13.0499,79.32,14,35,6.44,scattered clouds
97,Hobart,AU,-42.8794,147.3294,59.27,91,20,8.05,few clouds
98,Anloga,GH,5.7947,0.8973,80.13,73,72,1.63,broken clouds
99,Quatre Cocos,MU,-20.2078,57.7625,74.08,81,3,6.29,clear sky
100,Hithadhoo,MV,-0.6,73.0833,84.81,69,81,7.63,broken clouds
101,Esperance,AU,-33.8667,121.9,51.64,71,83,10.74,broken clouds
102,Bredasdorp,ZA,-34.5322,20.0403,56.61,94,64,4.29,broken clouds
103,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,20,6.91,few clouds
104,Puerto Ayora,EC,-0.7393,-90.3518,78.76,80,11,8.84,few clouds
105,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,28,8.95,scattered clouds
106,Ostrovnoy,RU,68.0531,39.5131,19.47,77,100,22.48,overcast clouds
107,Estelle,US,29.8458,-90.1067,81.0,37,75,6.91,broken clouds
108,Qaanaaq,GL,77.484,-69.3632,27.27,95,99,5.75,light snow
109,Sergeyevka,KZ,53.88,67.4158,59.34,51,99,12.46,overcast clouds
110,Torbay,CA,47.6666,-52.7314,40.75,93,100,8.05,fog
111,Hobyo,SO,5.3505,48.5268,83.25,76,4,10.36,clear sky
112,Bagotville,AU,-28.9833,153.4167,69.62,99,72,0.96,broken clouds
113,Faanui,PF,-16.4833,-151.75,82.08,70,6,22.75,clear sky
114,Provideniya,RU,64.3833,-173.3,32.11,74,75,20.13,light shower snow
115,Victoria,HK,22.2855,114.1577,79.25,88,28,1.01,scattered clouds
116,Mount Isa,AU,-20.7333,139.5,80.37,61,34,9.22,scattered clouds
117,Marawi,PH,7.9986,124.2928,71.58,89,99,0.65,overcast clouds
118,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,25.32,scattered clouds
119,Waingapu,ID,-9.6567,120.2641,77.02,81,68,3.67,broken clouds
120,Gogrial,SS,8.5332,28.1004,82.67,56,100,7.45,overcast clouds
121,Abha,SA,18.2164,42.5053,60.62,67,0,6.91,clear sky
122,Ati,TD,13.2154,18.3353,85.48,46,68,9.73,broken clouds
